Altium Designer Pick and Place Locations
C:\Users\Bashir\AppData\Local\TempReleases\Snapshot\4\Assembly\Pick Place\Pick Place for IOT B oard FIle.txt

========================================================================================================================
File Design Information:

Date:       13 06 25
Time:       15:58
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator        Comment                          Layer    Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                    
"Voltage Sensor"  JMP_3_PTH                        TopLayer PCB-sk86k7dvvjlolx5r1p4b-1 6755.000      1865.000      90       "Board-To-Board Connector, M20 Series, Through Hole, Header, 9, 2.54 mm, Gold Plated Contacts" 
"Current Sensor"  JMP_3_PTH                        TopLayer PCB-sk86k7dvvjlolx5r1p4b-1 5560.000      1890.000      90       "Board-To-Board Connector, M20 Series, Through Hole, Header, 9, 2.54 mm, Gold Plated Contacts" 
12Vout            "DVOPOLNI KONEKTOR gregor"       TopLayer PCB-6mcc19iryir3ivv449no-1 1685.000      3370.000      0        "Terminal block; PCB; Header; Male Pins; Shrouded (4 Side); 2 position; 16A; 400V; Solder"     
12Vin             "DVOPOLNI KONEKTOR gregor"       TopLayer PCB-6mcc19iryir3ivv449no-1 2310.000      3360.000      0        "Terminal block; PCB; Header; Male Pins; Shrouded (4 Side); 2 position; 16A; 400V; Solder"     
5Vin              "DVOPOLNI KONEKTOR gregor"       TopLayer PCB-6mcc19iryir3ivv449no-1 2070.000      2505.000      0        "Terminal block; PCB; Header; Male Pins; Shrouded (4 Side); 2 position; 16A; 400V; Solder"     
"Relay Module"    "TE Connectivity 87224-8"        TopLayer TE_Connectivity_87224-8    1405.000      5417.520      90       "Board Connector, 8 Contact(s), 1 Row(s), Male, Straight, Solder Terminal, Black Insulator"    
"GPRS/GSM Module" "TE Connectivity 87224-8"        TopLayer TE_Connectivity_87224-8    1405.000      4228.937      90       "Board Connector, 8 Contact(s), 1 Row(s), Male, Straight, Solder Terminal, Black Insulator"    
P17               "WAGO 733-364"                   TopLayer PCB-vsf7opndapah19mhzu9o-1 7200.000      2587.250      90       "Wire-To-Board Connector, Right Angle, Through Hole, Plug, 4, 2.5 mm, Tin Plated Contacts"     
P16               "WAGO 733-364"                   TopLayer PCB-vsf7opndapah19mhzu9o-1 6761.250      2587.250      90       "Wire-To-Board Connector, Right Angle, Through Hole, Plug, 4, 2.5 mm, Tin Plated Contacts"     
P15               "WAGO 733-364"                   TopLayer PCB-vsf7opndapah19mhzu9o-1 6322.500      2587.250      90       "Wire-To-Board Connector, Right Angle, Through Hole, Plug, 4, 2.5 mm, Tin Plated Contacts"     
